k,inertia,silhouette,delta_inertia
2,1659.00796725115,0.26831340971052126,0.0
3,1277.9284888446423,0.2848589191898987,0.22970322381147293
4,1175.705192819712,0.25173343011696475,0.07999140555771549
5,1108.524739754904,0.2450681996584112,0.05714055995932799
6,1056.9326699486141,0.2383998216133732,0.04654119836576393
7,992.2467599872963,0.18821768960113827,0.06120154272879346
8,943.4776685430318,0.17462874478181473,0.049150164466033534
9,893.1433301719818,0.1425981866064833,0.05334979305740105
10,875.6041343690267,0.12961787834566654,0.01963760486189576
